Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
Porto Alegre. roteiro da paixão		Luiz de Miranda	9788570633262	2007	71	pt-BR			http://books.google.com/books/content?id=Sl0eAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788562989063						
			9788521902249						
			9788525413376						
Ecce Homo	de como a gente se torna o que a gente é	Friedrich Wilhelm Nietzsche. Marcelo Backes	9788525412492	2003	188	pt-BR		Gerada no limiar - inclusive temporal - entre a razão e a loucura. É o 'Ecce homo'. sua autobiografia escrita aos quarenta e quatro anos. o último suspiro antes do declínio.	
Parabéns Pelo Seu Bebê		VERGARA & RIBA	9788576830177			en			http://books.google.com/books/content?id=QIRc5i0KVBkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"A arte de amar ; incluindo Os remédios para o amor e Os produtos de beleza para o rosto da mulher"		Ovídio	9788525411334	2002	167	pt-BR		"A arte de amar' é um título que procura seduzir por sua simplicidade e inquieta por sua ingenuidade. Pode-se perguntar se é necessário. útil ou conveniente ensinar esta arte. que parece evidente. fazendo parte dessas coisas tão compartilhadas e tão comuns a todos sem que seja preciso ensiná-las. Mas Ovídio busca não ensinar o sentimento. mas a habilidade; não o amor. mas a sedução. Reconcilia os dois sexos e dá à mulher sua participação e sua iniciativa neste jogo do qual séculos de 'civilização' a excluíram."	
Drame en trois actes		Agatha Christie	9782253036951	2002-06-05	253	fr		Il ne fait pas bon. ces derniers temps. être invité aux dîners de Sir Charles. A quelques jours d'intervalle. un pasteur. puis un psychiatre en sortent les pieds devant. Le mobile insolite de ce double crime. il faudrait avoir été invité à dîner pour le découvrir. Et quand cet invité s'appelle Hercule Poirot...	
			9788525406088						
			9788525418715						
Numa fria		Charles Bukowski	9788525412225	2006	228	pt-BR		Charles Bukowski foi um dos maiores poetas e ficcionistas dos EUA. A diferença entre ele e os outros 'malditos' é que ele não foi um mártir. nem um anjo caído. Às vezes. quando cai. cai atirando. sem autopiedade. Alguns de seus diálogos são memoráveis. e a violência de sua linguagem geralmente oculta uma indisfarçável ternura pelos perdedores e excluídos. 'Numa fria' é Bukowski puro - uma preciosa coletânea de contos. gênero ao qual ele se dedicou mais intensamente.	
